server is started on 0.0.0.0/0.0.0.0:8090
Server opens a stream
Client opens a stream
UP!!
Msg 0 --> 2431976
Msg 1 --> 933767
Msg 2 --> 891383
Msg 3 --> 854721
Msg 4 --> 825216
Msg 5 --> 707866
Msg 6 --> 693533
Msg 7 --> 684273
here 18
Msg 8 --> 401068
Msg 9 --> 457602
Msg 10 --> 453679
Msg 11 --> 455166
Msg 12 --> 466419
Msg 13 --> 444014
Msg 14 --> 335514
Msg 15 --> 383327
Msg 16 --> 391528
Msg 17 --> 345886
Msg 18 --> 383824
Msg 19 --> 409060
Msg 20 --> 398725
Msg 21 --> 305782
Msg 22 --> 373105
Msg 23 --> 373987
Msg 24 --> 380175
Msg 25 --> 368843
Msg 26 --> 414128
Msg 27 --> 426932
Msg 28 --> 410473
Msg 29 --> 387021
Msg 30 --> 371499
Msg 31 --> 404256
Msg 32 --> 464822
Msg 33 --> 458735
Msg 34 --> 450330
Msg 35 --> 370976
Msg 36 --> 344219
Msg 37 --> 269377
Msg 38 --> 273871
Msg 39 --> 409381
Msg 40 --> 448261
Msg 41 --> 471131
Msg 42 --> 444086
Msg 43 --> 462860
Msg 44 --> 472888
Msg 45 --> 520565
Msg 46 --> 217147
Msg 47 --> 259767
Msg 48 --> 278998
Msg 49 --> 391663
Msg 50 --> 384598
Msg 51 --> 378302
Msg 52 --> 217271
Msg 53 --> 284245
Msg 54 --> 293714
Msg 55 --> 327789
Msg 56 --> 296122
Msg 57 --> 247127
Msg 58 --> 201693
Msg 59 --> 329951
Msg 60 --> 230583
Msg 61 --> 219454
Msg 62 --> 395777
Msg 63 --> 400184
Msg 64 --> 394872
Msg 65 --> 281396
Msg 66 --> 362312
Msg 67 --> 203478
Msg 68 --> 615095
Msg 69 --> 500865
Msg 70 --> 355629
Msg 71 --> 271833
Msg 72 --> 366891
Msg 73 --> 384481
Msg 74 --> 278740
Msg 75 --> 317764
Msg 76 --> 271143
Msg 77 --> 235718
Msg 78 --> 352650
Msg 79 --> 358026
Msg 80 --> 387917
Msg 81 --> 358204
Msg 82 --> 377700
Msg 83 --> 365227
Msg 84 --> 351115
Msg 85 --> 291003
Msg 86 --> 284407
Msg 87 --> 169092
Msg 88 --> 142678
Msg 89 --> 166864
Msg 90 --> 163642
Msg 91 --> 195425
Msg 92 --> 191880
Msg 93 --> 164613
DOWN!!
here 2
Msg 94 --> 343493
Msg 95 --> 364766
Msg 96 --> 367681
Msg 97 --> 364827
Msg 98 --> 363365
Msg 99 --> 337429
Msg 100 --> 335462
Msg 101 --> 279697
Msg 102 --> 188586
UP!!
here 15
Msg 103 --> 1306101526
Msg 104 --> 1306093234
Msg 105 --> 1306086783
Msg 106 --> 1306064544
Msg 107 --> 1306061529
Msg 108 --> 305007621
Msg 109 --> 304915650
Msg 110 --> 304907858
Msg 111 --> 304901257
Msg 112 --> 291773
Msg 113 --> 351031
Msg 114 --> 278633
Msg 115 --> 252218
Msg 116 --> 294197
Msg 117 --> 299170
Msg 118 --> 260699
Msg 119 --> 260893
Msg 120 --> 277143
Msg 121 --> 296671
Msg 122 --> 411156
Msg 123 --> 394685
Msg 124 --> 329382
Msg 125 --> 377275
Msg 126 --> 258688
Msg 127 --> 227283
Msg 128 --> 486155
Msg 129 --> 459015
Msg 130 --> 341481
Msg 131 --> 290887
Msg 132 --> 238486
Msg 133 --> 269762
Msg 134 --> 217719
Msg 135 --> 229829
Msg 136 --> 236071
Msg 137 --> 365732
Msg 138 --> 499320
Msg 139 --> 505912
Msg 140 --> 511869
Msg 141 --> 495960
Msg 142 --> 499256
Msg 143 --> 515422
Msg 144 --> 564583
Msg 145 --> 602693
Msg 146 --> 638867
Msg 147 --> 621393
Msg 148 --> 575963
Msg 149 --> 582499
Msg 150 --> 528764
Msg 151 --> 539722
Msg 152 --> 617527
Msg 153 --> 350525
Msg 154 --> 359987
Msg 155 --> 361021
Msg 156 --> 560967
Msg 157 --> 528834
Msg 158 --> 540601
Msg 159 --> 614221
Msg 160 --> 547069
Msg 161 --> 620220
Msg 162 --> 1985221
Msg 163 --> 2017898
Msg 164 --> 1996316
Msg 165 --> 2006000
Msg 166 --> 299510
Msg 167 --> 298806
Msg 168 --> 320842
Msg 169 --> 295224
Msg 170 --> 285831
Msg 171 --> 288188
Msg 172 --> 314976
DOWN!!
here 42
UP!!
here 27
Msg 173 --> 47377285642
Msg 174 --> 46374323372
Msg 175 --> 46374238947
Msg 176 --> 46374167816
Msg 177 --> 46374143536
Msg 178 --> 46374140768
Msg 179 --> 46374144880
Msg 180 --> 46374153634
Msg 181 --> 46374156794
Msg 182 --> 45372883089
Msg 183 --> 45372789638
Msg 184 --> 45372775093
Msg 185 --> 45372777650
Msg 186 --> 44368600743
Msg 187 --> 44368451208
Msg 188 --> 44368414489
Msg 189 --> 44368378977
Msg 190 --> 43364582295
Msg 191 --> 42361326572
Msg 192 --> 42361199959
Msg 193 --> 40356069397
Msg 194 --> 39351753464
Msg 195 --> 38348914871
Msg 196 --> 38348834770
Msg 197 --> 38348824477
Msg 198 --> 37345284878
Msg 199 --> 37345200730
Msg 200 --> 37345168899
Msg 201 --> 37345153954
Msg 202 --> 36342650832
Msg 203 --> 35339439917
Msg 204 --> 34336199686
Msg 205 --> 34336039239
Msg 206 --> 34336005275
Msg 207 --> 34335999325
Msg 208 --> 33333099655
Msg 209 --> 33332964970
Msg 210 --> 32329587800
Msg 211 --> 32329364380
Msg 212 --> 32329315547
Msg 213 --> 29327108354
Msg 214 --> 29327037513
Msg 215 --> 29327038510
Msg 216 --> 29327035970
Msg 217 --> 28326621417
Msg 218 --> 28326559550
Msg 219 --> 28326558786
Msg 220 --> 28326560417
Msg 221 --> 28326563461
Msg 222 --> 28326572701
Msg 223 --> 28326616718
Msg 224 --> 27324724204
Msg 225 --> 27324665579
Msg 226 --> 27324717163
Msg 227 --> 27324744948
Msg 228 --> 27324894000
Msg 229 --> 27324925636
Msg 230 --> 25324655919
Msg 231 --> 25324501196
Msg 232 --> 25324454638
Msg 233 --> 25324431667
Msg 234 --> 24321432769
Msg 235 --> 23318347597
Msg 236 --> 22315340931
Msg 237 --> 21311992099
Msg 238 --> 21311830944
Msg 239 --> 21311816829
Msg 240 --> 21311836133
Msg 241 --> 20309086510
Msg 242 --> 20308934498
Msg 243 --> 20308918348
Msg 244 --> 20308919886
Msg 245 --> 20308929009
Msg 246 --> 20308943845
Msg 247 --> 20308951879
Msg 248 --> 18305503383
Msg 249 --> 18305238252
Msg 250 --> 18305208753
Msg 251 --> 18302829520
Msg 252 --> 18302747937
Msg 253 --> 17299079754
Msg 254 --> 17298949894
Msg 255 --> 17298952782
Msg 256 --> 17298999004
Msg 257 --> 17299023842
Msg 258 --> 17299049310
Msg 259 --> 17299061797
Msg 260 --> 17299069269
Msg 261 --> 17299083483
Msg 262 --> 16294710440
Msg 263 --> 16294620568
Msg 264 --> 16294626054
Msg 265 --> 15293491742
Msg 266 --> 15293387647
Msg 267 --> 15293358850
Msg 268 --> 15293386852
Msg 269 --> 15293414530
Msg 270 --> 15293437193
Msg 271 --> 15293445207
Msg 272 --> 15293453426
Msg 273 --> 15293477326
Msg 274 --> 14290837149
Msg 275 --> 14290792995
Msg 276 --> 14290806611
Msg 277 --> 14290830314
Msg 278 --> 14290849197
Msg 279 --> 13287591689
Msg 280 --> 13287493400
Msg 281 --> 13287459185
Msg 282 --> 11283995852
Msg 283 --> 11283852517
Msg 284 --> 11283840076
Msg 285 --> 11283849851
Msg 286 --> 11283847943
Msg 287 --> 11284028441
Msg 288 --> 11284025719
Msg 289 --> 11284027484
Msg 290 --> 11284021798
Msg 291 --> 11284005364
Msg 292 --> 10279313608
Msg 293 --> 10279228156
Msg 294 --> 10279163953
Msg 295 --> 9275229814
Msg 296 --> 8272068380
Msg 297 --> 8271937182
Msg 298 --> 6271536326
Msg 299 --> 6271409153
Msg 300 --> 6271378432
Msg 301 --> 6271391475
Msg 302 --> 6271399571
Msg 303 --> 6271412461
Msg 304 --> 6271408409
Msg 305 --> 6271417705
Msg 306 --> 6271424757
Msg 307 --> 5270169244
Msg 308 --> 5270093646
Msg 309 --> 5270084161
Msg 310 --> 5270060911
Msg 311 --> 5270054979
Msg 312 --> 5270053539
Msg 313 --> 5270053343
Msg 314 --> 5270042270
Msg 315 --> 5270022328
Msg 316 --> 5270011326
Msg 317 --> 5270012832
Msg 318 --> 4266036406
Msg 319 --> 263199185
Msg 320 --> 514029
Msg 321 --> 614362
Msg 322 --> 613032
Msg 323 --> 572261
Msg 324 --> 557912
Msg 325 --> 529492
Msg 326 --> 496351
Msg 327 --> 488300
Msg 328 --> 468701
Msg 329 --> 415076
Msg 330 --> 447605
Msg 331 --> 471099
Msg 332 --> 355644
Msg 333 --> 466265
Msg 334 --> 516720
Msg 335 --> 522531
Msg 336 --> 303541
Msg 337 --> 360964
Msg 338 --> 280992
Msg 339 --> 341399
Msg 340 --> 343475
Msg 341 --> 368944
Msg 342 --> 459015
Msg 343 --> 467348
Msg 344 --> 446534
Msg 345 --> 399936
Msg 346 --> 377832
Msg 347 --> 479510
Msg 348 --> 406977
Msg 349 --> 407929
Msg 350 --> 385304
Msg 351 --> 373202
Msg 352 --> 364126
Msg 353 --> 360748
Msg 354 --> 290288
Msg 355 --> 274248
Msg 356 --> 260868
Msg 357 --> 309258
Msg 358 --> 424463
Msg 359 --> 430892
